species,scientific name,type,english name,english_name
Lavandula angustifolia,Lavandula angustifolia,Angiosperm,English Lavender,English Lavender
Lavatera arborea,Lavatera arborea,Angiosperm,Tree-mallow,Tree-mallow
Lemna gibba,Lemna gibba,Angiosperm,Fat Duckweed,Fat Duckweed
Lemna minor,Lemna minor,Angiosperm,Common Duckweed,Common Duckweed
Lemna trisulca,Lemna trisulca,Angiosperm,Ivy-leaved Duckweed,Ivy-leaved Duckweed
Leontodon autumnalis,Leontodon autumnalis,Angiosperm,Autumn Hawkbit,Autumn Hawkbit
Leontodon hispidus,Leontodon hispidus,Angiosperm,Rough Hawkbit,Rough Hawkbit
Leontodon saxatilis,Leontodon saxatilis,Angiosperm,Lesser Hawkbit,Lesser Hawkbit
Lepidium campestre,Lepidium campestre,Angiosperm,Field Pepperwort,Field Pepperwort
Lepidium draba,Lepidium draba,Angiosperm,Hoary Cress,Hoary Cress
Lepidium heterophyllum,Lepidium heterophyllum,Angiosperm,Smiths Pepperwort,Smiths Pepperwort
Lepidium latifolium,Lepidium latifolium,Angiosperm,Dittander,Dittander
Leptospermum scoparium,Leptospermum scoparium,Angiosperm,Broom tea-tree,Broom tea-tree
Leucanthemum vulgare,Leucanthemum vulgare,Angiosperm,Oxeye Daisy,Oxeye Daisy
Leucojum aestivum,Leucojum aestivum,Angiosperm,Summer Snowflake,Summer Snowflake
Leymus arenarius,Leymus arenarius,Angiosperm,Lyme-grass,Lyme-grass
Ligusticum scoticum,Ligusticum scoticum,Angiosperm,Scots Lovage,Scots Lovage
Ligustrum ovalifolium,Ligustrum ovalifolium,Angiosperm,Garden Privet,Garden Privet
Ligustrum vulgare,Ligustrum vulgare,Angiosperm,Wild Privet,Wild Privet
Limnanthes douglasii,Limnanthes douglasii,Angiosperm,Meadow-foam,Meadow-foam
Limonium humile,Limonium humile,Angiosperm,Lax-flowered Sea-lavender,Lax-flowered Sea-lavender
Limonium hyblaeum,Limonium hyblaeum,Angiosperm,Silican sea lavender,Silican sea lavender
Limonium recurvum,Limonium recurvum,Angiosperm,Sea-lavender_sp_ recurvens,Sea-lavender_sp_ recurvens
Limonium vulgare,Limonium vulgare,Angiosperm,Common Sea-lavender,Common Sea-lavender
Limosella aquatica,Limosella aquatica,Angiosperm,Mudwort,Mudwort
Linaria purpurea,Linaria purpurea,Angiosperm,Purple Toadflax,Purple Toadflax
Linaria repens,Linaria repens,Angiosperm,Pale Toadflax,Pale Toadflax
Linaria vulgaris,Linaria vulgaris,Angiosperm,Common Toadflax,Common Toadflax
Lindernia dubia,Lindernia dubia,Angiosperm,False pimpernel,False pimpernel
Linnaea borealis,Linnaea borealis,Angiosperm,Twinflower,Twinflower
Linum catharticum,Linum catharticum,Angiosperm,Fairy Flax,Fairy Flax
Linum perenne,Linum perenne,Angiosperm,Perennial Flax,Perennial Flax
Listera cordata,Listera cordata,Angiosperm,Lesser Twayblade,Lesser Twayblade
Listera ovata,Listera ovata,Angiosperm,Common Twayblade,Common Twayblade
Littorella uniflora,Littorella uniflora,Angiosperm,Shoreweed,Shoreweed
Lobelia dortmanna,Lobelia dortmanna,Angiosperm,Water Lobelia,Water Lobelia
Loiseleuria procumbens,Loiseleuria procumbens,Angiosperm,Trailing Azalea,Trailing Azalea
Lolium perenne,Lolium perenne,Angiosperm,Perennial Rye-grass,Perennial Rye-grass
Lonicera periclymenum,Lonicera periclymenum,Angiosperm,Honeysuckle,Honeysuckle
Lotus corniculatus,Lotus corniculatus,Angiosperm,Common Birds-foot-trefoil,Common Birds-foot-trefoil
Lotus pedunculatus,Lotus pedunculatus,Angiosperm,Greater Birds-foot-trefoil,Greater Birds-foot-trefoil
Ludwigia peploides,Ludwigia peploides,Angiosperm,Floating primrose willow,Floating primrose willow
Lunaria annua,Lunaria annua,Angiosperm,Honesty,Honesty
Lupinus arboreus,Lupinus arboreus,Angiosperm,Tree Lupin,Tree Lupin
Lupinus arboreus x polyphyllus = L. x regalis,Lupinus arboreus x polyphyllus = L. x regalis,Angiosperm,Russell Lupin,Russell Lupin
Lupinus perennis,Lupinus perennis,Angiosperm,Wild lupin,Wild lupin
Lupinus polyphyllus,Lupinus polyphyllus,Angiosperm,Garden Lupin,Garden Lupin
Luzula arcuata,Luzula arcuata,Angiosperm,Curved Wood-rush,Curved Wood-rush
Luzula campestris,Luzula campestris,Angiosperm,Field Wood-rush,Field Wood-rush
Luzula multiflora,Luzula multiflora,Angiosperm,Heath Wood-rush,Heath Wood-rush
Luzula pilosa,Luzula pilosa,Angiosperm,Hairy Wood-rush,Hairy Wood-rush
Luzula spicata,Luzula spicata,Angiosperm,Spiked Wood-rush,Spiked Wood-rush
Luzula sylvatica,Luzula sylvatica,Angiosperm,Great Wood-rush,Great Wood-rush
Lychnis alpina,Lychnis alpina,Angiosperm,Alpine Catchfly,Alpine Catchfly
Lychnis flos-cuculi,Lychnis flos-cuculi,Angiosperm,Ragged-Robin,Ragged-Robin
Lychnis viscaria,Lychnis viscaria,Angiosperm,Sticky Catchfly,Sticky Catchfly
Lycopus europaeus,Lycopus europaeus,Angiosperm,Gypsywort,Gypsywort
Lysimachia nemorum,Lysimachia nemorum,Angiosperm,Yellow Pimpernel,Yellow Pimpernel
Lysimachia nummularia,Lysimachia nummularia,Angiosperm,Creeping-Jenny,Creeping-Jenny
Lysimachia terrestris,Lysimachia terrestris,Angiosperm,Lake loostrife,Lake loostrife
Lysimachia thyrsiflora,Lysimachia thyrsiflora,Angiosperm,Tufted Loosestrife,Tufted Loosestrife
Lysimachia vulgaris,Lysimachia vulgaris,Angiosperm,Yellow Loosestrife,Yellow Loosestrife
Lythrum portula,Lythrum portula,Angiosperm,Water-purslane,Water-purslane
Lythrum salicaria,Lythrum salicaria,Angiosperm,Purple Loosestrife,Purple Loosestrife
Mahonia aquifolium,Mahonia aquifolium,Angiosperm,Oregon-grape,Oregon-grape
Malus pumila,Malus pumila,Angiosperm,Apple,Apple
Malus sylvestris,Malus sylvestris,Angiosperm,Crab Apple,Crab Apple
Malva moschata,Malva moschata,Angiosperm,Musk-mallow,Musk-mallow
Malva neglecta,Malva neglecta,Angiosperm,Dwarf Mallow,Dwarf Mallow
Malva sylvestris,Malva sylvestris,Angiosperm,Common Mallow,Common Mallow
Marrubium vulgare,Marrubium vulgare,Angiosperm,White Horehound,White Horehound
Matricaria discoidea,Matricaria discoidea,Angiosperm,Pineapple Mayweed,Pineapple Mayweed
Matricaria recutita,Matricaria recutita,Angiosperm,Scented Mayweed,Scented Mayweed
Meconopsis cambrica,Meconopsis cambrica,Angiosperm,Welsh Poppy,Welsh Poppy
Medicago lupulina,Medicago lupulina,Angiosperm,Black Medick,Black Medick
Medicago sativa subsp. sativa,Medicago sativa subsp. sativa,Angiosperm,Lucerne,Lucerne
Melampyrum pratense,Melampyrum pratense,Angiosperm,Common Cow-wheat,Common Cow-wheat
Melampyrum sylvaticum,Melampyrum sylvaticum,Angiosperm,Small Cow-wheat,Small Cow-wheat
Melica nutans,Melica nutans,Angiosperm,Mountain Melick,Mountain Melick
Melica uniflora,Melica uniflora,Angiosperm,Wood Melick,Wood Melick
Melilotus albus,Melilotus albus,Angiosperm,White Melilot,White Melilot
Melilotus officinalis,Melilotus officinalis,Angiosperm,Ribbed Melilot,Ribbed Melilot
Mentha,Mentha,Angiosperm,Mints,Mints
Mentha aquatica,Mentha aquatica,Angiosperm,Water Mint,Water Mint
Mentha arvensis,Mentha arvensis,Angiosperm,Corn Mint,Corn Mint
Mentha spicata,Mentha spicata,Angiosperm,Spear Mint,Spear Mint
Mentha spicata x suaveolens = M. x villosa,Mentha spicata x suaveolens = M. x villosa,Angiosperm,Apple-mint,Apple-mint
Menyanthes trifoliata,Menyanthes trifoliata,Angiosperm,Bogbean,Bogbean
Mercurialis annua,Mercurialis annua,Angiosperm,Annual Mercury,Annual Mercury
Mercurialis perennis,Mercurialis perennis,Angiosperm,Dogs Mercury,Dogs Mercury
Mertensia maritima,Mertensia maritima,Angiosperm,Oysterplant,Oysterplant
Meum athamanticum,Meum athamanticum,Angiosperm,Spignel,Spignel
Milium effusum,Milium effusum,Angiosperm,Wood Millet,Wood Millet
Mimulus guttatus,Mimulus guttatus,Angiosperm,Monkeyflower,Monkeyflower
Minuartia rubella,Minuartia rubella,Angiosperm,Mountain Sandwort,Mountain Sandwort
Minuartia sedoides,Minuartia sedoides,Angiosperm,Cyphel,Cyphel
Minuartia verna,Minuartia verna,Angiosperm,Spring Sandwort,Spring Sandwort
Moehringia trinervia,Moehringia trinervia,Angiosperm,Three-nerved Sandwort,Three-nerved Sandwort
Molinia caerulea,Molinia caerulea,Angiosperm,Purple Moor-grass,Purple Moor-grass
Moneses uniflora,Moneses uniflora,Angiosperm,One-flowered Wintergreen,One-flowered Wintergreen
Monotropa hypopitys,Monotropa hypopitys,Angiosperm,Yellow Birds-nest,Yellow Birds-nest
Montia fontana,Montia fontana,Angiosperm,Blinks,Blinks
Muehlenbeckia complexa,Muehlenbeckia complexa,Angiosperm,Wireplant,Wireplant
Muntiacus reevesi ,Muntiacus reevesi ,Angiosperm,Reeves muntjac,Reeves muntjac
Muscari armeniacum,Muscari armeniacum,Angiosperm,Garden Grape-hyacinth,Garden Grape-hyacinth
Muscari botryoides,Muscari botryoides,Angiosperm,Grape hyacinth,Grape hyacinth
Mycelis muralis,Mycelis muralis,Angiosperm,Wall Lettuce,Wall Lettuce
Myosotis,Myosotis,Angiosperm,Forget-me-nots,Forget-me-nots
Myosotis alpestris,Myosotis alpestris,Angiosperm,Alpine Forget-me-not,Alpine Forget-me-not
Myosotis arvensis,Myosotis arvensis,Angiosperm,Field Forget-me-not,Field Forget-me-not
Myosotis discolor,Myosotis discolor,Angiosperm,Changing Forget-me-not,Changing Forget-me-not
Myosotis laxa,Myosotis laxa,Angiosperm,Tufted Forget-me-not,Tufted Forget-me-not
Myosotis ramosissima,Myosotis ramosissima,Angiosperm,Early Forget-me-not,Early Forget-me-not
Myosotis scorpioides,Myosotis scorpioides,Angiosperm,Water Forget-me-not,Water Forget-me-not
Myosotis secunda,Myosotis secunda,Angiosperm,Creeping Forget-me-not,Creeping Forget-me-not
Myosotis stolonifera,Myosotis stolonifera,Angiosperm,Pale Forget-me-not,Pale Forget-me-not
Myosotis sylvatica,Myosotis sylvatica,Angiosperm,Wood Forget-me-not,Wood Forget-me-not
Myosoton aquaticum,Myosoton aquaticum,Angiosperm,Water Chickweed,Water Chickweed
Myrica gale,Myrica gale,Angiosperm,Bog-myrtle,Bog-myrtle
Myriophyllum alterniflorum,Myriophyllum alterniflorum,Angiosperm,Alternate Water-milfoil,Alternate Water-milfoil
Myriophyllum aquaticum ,Myriophyllum aquaticum ,Angiosperm,Parrots feather ,Parrots feather 
Myriophyllum heterophyllum ,Myriophyllum heterophyllum ,Angiosperm,Two leaf warermilfoil/Broadleaf watermilfoil,Two leaf warermilfoil/Broadleaf watermilfoil
Myriophyllum hippuroides,Myriophyllum hippuroides,Angiosperm,western water-milfoil,western water-milfoil
Myriophyllum pinnatum,Myriophyllum pinnatum,Angiosperm,Cutleaf water-milfoil,Cutleaf water-milfoil
Myriophyllum propinquum,Myriophyllum propinquum,Angiosperm,Myriophyllum propinquum,Myriophyllum propinquum
Myriophyllum spicatum,Myriophyllum spicatum,Angiosperm,Spiked Water-milfoil,Spiked Water-milfoil
Myrrhis odorata,Myrrhis odorata,Angiosperm,Sweet Cicely,Sweet Cicely
Najas flexilis,Najas flexilis,Angiosperm,Slender Naiad,Slender Naiad
Narcissus poeticus,Narcissus poeticus,Angiosperm,Pheasants-eye Daffodil,Pheasants-eye Daffodil
Narcissus poeticus subsp. poeticus,Narcissus poeticus subsp. poeticus,Angiosperm,Narcissus poeticus subsp. poeticus,Narcissus poeticus subsp. poeticus
Narcissus pseudonarcissus,Narcissus pseudonarcissus,Angiosperm,Daffodil,Daffodil
Nardus stricta,Nardus stricta,Angiosperm,Mat-grass,Mat-grass
Narthecium ossifragum,Narthecium ossifragum,Angiosperm,Bog Asphodel,Bog Asphodel
Neottia nidus-avis,Neottia nidus-avis,Angiosperm,Birds-nest Orchid,Birds-nest Orchid
Neottia ovata,Neottia ovata,Angiosperm,Common Twayblade,Common Twayblade
Nepeta cataria,Nepeta cataria,Angiosperm,Cat-mint,Cat-mint
Nicandra physalodes,Nicandra physalodes,Angiosperm,Apple-of-Peru,Apple-of-Peru
Nuphar lutea,Nuphar lutea,Angiosperm,Yellow Water-lily,Yellow Water-lily
Nuphar pumila,Nuphar pumila,Angiosperm,Least Water-lily,Least Water-lily
Nymphaea alba,Nymphaea alba,Angiosperm,White Water-lily,White Water-lily
Odontites vernus,Odontites vernus,Angiosperm,Red Bartsia,Red Bartsia
Oenanthe aquatica,Oenanthe aquatica,Angiosperm,Fine-leaved Water-dropwort,Fine-leaved Water-dropwort
Oenanthe crocata,Oenanthe crocata,Angiosperm,Hemlock Water-dropwort,Hemlock Water-dropwort
Oenanthe fistulosa,Oenanthe fistulosa,Angiosperm,Tubular Water-dropwort,Tubular Water-dropwort
Oenanthe lachenalii,Oenanthe lachenalii,Angiosperm,Parsley Water-dropwort,Parsley Water-dropwort
Oenothera biennis,Oenothera biennis,Angiosperm,Common Evening-primrose,Common Evening-primrose
Onobrychis viciifolia,Onobrychis viciifolia,Angiosperm,Sanfoin,Sanfoin
Ononis reclinata,Ononis reclinata,Angiosperm,Small Restharrow,Small Restharrow
Ononis repens,Ononis repens,Angiosperm,Common Restharrow,Common Restharrow
Ononis spinosa,Ononis spinosa,Angiosperm,Spiny Restharrow,Spiny Restharrow
Orchis mascula,Orchis mascula,Angiosperm,Early-purple Orchid,Early-purple Orchid
Orchis morio,Orchis morio,Angiosperm,Green-winged Orchid,Green-winged Orchid
Origanum vulgare,Origanum vulgare,Angiosperm,Wild Marjoram,Wild Marjoram
Ornithogalum angustifolium,Ornithogalum angustifolium,Angiosperm,Star-of-Bethlehem,Star-of-Bethlehem
Ornithogalum pyrenaicum,Ornithogalum pyrenaicum,Angiosperm,Spiked Star-of-Bethlehem,Spiked Star-of-Bethlehem
Ornithogalum umbellatum,Ornithogalum umbellatum,Angiosperm,Garden Star-of-Bethlehem,Garden Star-of-Bethlehem
Ornithopus perpusillus,Ornithopus perpusillus,Angiosperm,Birds-foot,Birds-foot
Orobanche alba,Orobanche alba,Angiosperm,Thyme Broomrape,Thyme Broomrape
Orobanche hederae,Orobanche hederae,Angiosperm,Ivy Broomrape,Ivy Broomrape
Orobanche lucorum,Orobanche lucorum,Angiosperm,Barberry Broomrape,Barberry Broomrape
Orobanche minor,Orobanche minor,Angiosperm,Common Broomrape,Common Broomrape
Orobanche rapum-genistae,Orobanche rapum-genistae,Angiosperm,Greater Broomrape,Greater Broomrape
Orthilia secunda,Orthilia secunda,Angiosperm,Serrated Wintergreen,Serrated Wintergreen
Oxalis acetosella,Oxalis acetosella,Angiosperm,Wood-sorrel,Wood-sorrel
Oxalis exilis,Oxalis exilis,Angiosperm,Least Yellow-sorrel,Least Yellow-sorrel
Oxybasis rubra,Oxybasis rubra,Angiosperm,Red Goosefoot,Red Goosefoot
Oxyria digyna,Oxyria digyna,Angiosperm,Mountain Sorrel,Mountain Sorrel
Oxytropis campestris,Oxytropis campestris,Angiosperm,Yellow Oxytropis,Yellow Oxytropis
Oxytropis halleri,Oxytropis halleri,Angiosperm,Purple Oxytropis,Purple Oxytropis
Papaver argemone,Papaver argemone,Angiosperm,Prickly Poppy,Prickly Poppy
Papaver dubium,Papaver dubium,Angiosperm,Long-headed Poppy,Long-headed Poppy
Papaver rhoeas,Papaver rhoeas,Angiosperm,Common Poppy,Common Poppy
Papaver somniferum,Papaver somniferum,Angiosperm,Opium Poppy,Opium Poppy
Parapholis strigosa,Parapholis strigosa,Angiosperm,Hard-grass,Hard-grass
Parentucellia viscosa,Parentucellia viscosa,Angiosperm,Yellow Bartsia,Yellow Bartsia
Parietaria judaica,Parietaria judaica,Angiosperm,Pellitory-of-the-wall,Pellitory-of-the-wall
Paris quadrifolia,Paris quadrifolia,Angiosperm,Herb Paris,Herb Paris
Parnassia palustris,Parnassia palustris,Angiosperm,Grass-of-Parnassus,Grass-of-Parnassus
Pastinaca sativa,Pastinaca sativa,Angiosperm,Wild Parsnip,Wild Parsnip
Pedicularis palustris,Pedicularis palustris,Angiosperm,Marsh Lousewort,Marsh Lousewort
Pedicularis sylvatica,Pedicularis sylvatica,Angiosperm,Lousewort,Lousewort
Pentaglottis sempervirens,Pentaglottis sempervirens,Angiosperm,Green Alkanet,Green Alkanet
Persicaria amphibia,Persicaria amphibia,Angiosperm,Amphibious Bistort,Amphibious Bistort
Persicaria bistorta,Persicaria bistorta,Angiosperm,Common Bistort,Common Bistort
Persicaria capitata,Persicaria capitata,Angiosperm,Pink-headed Persicaria,Pink-headed Persicaria
Persicaria hydropiper,Persicaria hydropiper,Angiosperm,Water-pepper,Water-pepper
Persicaria lapathifolia,Persicaria lapathifolia,Angiosperm,Pale Persicaria,Pale Persicaria
Persicaria maculosa,Persicaria maculosa,Angiosperm,Redshank,Redshank
Persicaria minor,Persicaria minor,Angiosperm,Small Water-pepper,Small Water-pepper
Persicaria vivipara,Persicaria vivipara,Angiosperm,Alpine Bistort,Alpine Bistort
Petasites albus,Petasites albus,Angiosperm,White Butterbur,White Butterbur
Petasites fragrans,Petasites fragrans,Angiosperm,Winter Heliotrope,Winter Heliotrope
Petasites hybridus,Petasites hybridus,Angiosperm,Butterbur,Butterbur
Petroselinum crispum,Petroselinum crispum,Angiosperm,Garden Parsley,Garden Parsley
Phacelia tanacetifolia,Phacelia tanacetifolia,Angiosperm,Scorpion Weed,Scorpion Weed
Phalaris arundinacea,Phalaris arundinacea,Angiosperm,Reed Canary-grass,Reed Canary-grass
Phalaris paradoxa,Phalaris paradoxa,Angiosperm,Awned canary-grass,Awned canary-grass
Phleum alpinum,Phleum alpinum,Angiosperm,Alpine Cats-tail,Alpine Cats-tail
Phleum arenarium,Phleum arenarium,Angiosperm,Sand Cats-tail,Sand Cats-tail
Phleum bertolonii,Phleum bertolonii,Angiosperm,Smaller Cats-tail,Smaller Cats-tail
Phleum pratense,Phleum pratense,Angiosperm,Timothy,Timothy
Phragmites australis,Phragmites australis,Angiosperm,Common Reed,Common Reed
Phyllodoce caerulea,Phyllodoce caerulea,Angiosperm,Blue Heath,Blue Heath
Pilosella aurantiaca,Pilosella aurantiaca,Angiosperm,Fox-and-cubs,Fox-and-cubs
Pilosella aurantiaca subsp. carpathicola,Pilosella aurantiaca subsp. carpathicola,Angiosperm,Pilosella aurantiaca subsp. carpathicola,Pilosella aurantiaca subsp. carpathicola
Pilosella flagellaris,Pilosella flagellaris,Angiosperm,Shetland Mouse-ear-hawkweed,Shetland Mouse-ear-hawkweed
Pilosella officinarum,Pilosella officinarum,Angiosperm,Mouse-ear-hawkweed,Mouse-ear-hawkweed
Pimpinella saxifraga,Pimpinella saxifraga,Angiosperm,Burnet-saxifrage,Burnet-saxifrage
Pinguicula alpina,Pinguicula alpina,Angiosperm,Alpine Butterwort,Alpine Butterwort
Pinguicula lusitanica,Pinguicula lusitanica,Angiosperm,Pale Butterwort,Pale Butterwort
Pinguicula vulgaris,Pinguicula vulgaris,Angiosperm,Common Butterwort,Common Butterwort
Plantago coronopus,Plantago coronopus,Angiosperm,Bucks-horn Plantain,Bucks-horn Plantain
Plantago lanceolata,Plantago lanceolata,Angiosperm,Ribwort Plantain,Ribwort Plantain
Plantago major,Plantago major,Angiosperm,Greater Plantain,Greater Plantain
Plantago maritima,Plantago maritima,Angiosperm,Sea Plantain,Sea Plantain
Plantago media,Plantago media,Angiosperm,Hoary Plantain,Hoary Plantain
Platanthera bifolia,Platanthera bifolia,Angiosperm,Lesser Butterfly-orchid,Lesser Butterfly-orchid
Platanthera chlorantha,Platanthera chlorantha,Angiosperm,Greater Butterfly-orchid,Greater Butterfly-orchid
Poa alpina,Poa alpina,Angiosperm,Alpine Meadow-grass,Alpine Meadow-grass
Poa angustifolia,Poa angustifolia,Angiosperm,Narrow-leaved Meadow-grass,Narrow-leaved Meadow-grass
Poa annua,Poa annua,Angiosperm,Annual Meadow-grass,Annual Meadow-grass
Poa compressa,Poa compressa,Angiosperm,Flattened Meadow-grass,Flattened Meadow-grass
Poa flexuosa,Poa flexuosa,Angiosperm,Wavy Meadow-grass,Wavy Meadow-grass
Poa glauca,Poa glauca,Angiosperm,Glaucous Meadow-grass,Glaucous Meadow-grass
Poa humilis,Poa humilis,Angiosperm,Spreading Meadow-grass,Spreading Meadow-grass
Poa nemoralis,Poa nemoralis,Angiosperm,Wood Meadow-grass,Wood Meadow-grass
Poa pratensis,Poa pratensis,Angiosperm,Smooth Meadow-grass,Smooth Meadow-grass
Poa trivialis,Poa trivialis,Angiosperm,Rough Meadow-grass,Rough Meadow-grass
Polygala serpyllifolia,Polygala serpyllifolia,Angiosperm,Heath Milkwort,Heath Milkwort
Polygala vulgaris,Polygala vulgaris,Angiosperm,Common Milkwort,Common Milkwort
Polygonatum,Polygonatum,Angiosperm,Solomons Seals,Solomons Seals
Polygonatum multiflorum x odoratum = P. x hybridum,Polygonatum multiflorum x odoratum = P. x hybridum,Angiosperm,Garden Solomons-seal,Garden Solomons-seal
Polygonatum odoratum,Polygonatum odoratum,Angiosperm,Angular Solomons-seal,Angular Solomons-seal
Polygonatum verticillatum,Polygonatum verticillatum,Angiosperm,Whorled Solomons-seal,Whorled Solomons-seal
Polygonum arenastrum,Polygonum arenastrum,Angiosperm,Equal-leaved Knotgrass,Equal-leaved Knotgrass
Polygonum aviculare,Polygonum aviculare,Angiosperm,Knotgrass,Knotgrass
Polygonum aviculare agg.,Polygonum aviculare agg.,Angiosperm,Polygonum aviculare agg.,Polygonum aviculare agg.
Polygonum boreale,Polygonum boreale,Angiosperm,Northern Knotgrass,Northern Knotgrass
Polygonum maritimum,Polygonum maritimum,Angiosperm,Sea Knotgrass,Sea Knotgrass
Polygonum oxyspermum,Polygonum oxyspermum,Angiosperm,Rays Knotgrass,Rays Knotgrass
Polygonum rurivagum,Polygonum rurivagum,Angiosperm,Cornfield Knotgrass,Cornfield Knotgrass
Potamogeton alpinus,Potamogeton alpinus,Angiosperm,Red Pondweed,Red Pondweed
Potamogeton berchtoldii,Potamogeton berchtoldii,Angiosperm,Small Pondweed,Small Pondweed
Potamogeton coloratus,Potamogeton coloratus,Angiosperm,Fen Pondweed,Fen Pondweed
Potamogeton compressus,Potamogeton compressus,Angiosperm,Grass-wrack Pondweed,Grass-wrack Pondweed
Potamogeton crispus,Potamogeton crispus,Angiosperm,Curled Pondweed,Curled Pondweed
Potamogeton epihydrus,Potamogeton epihydrus,Angiosperm,American Pondweed,American Pondweed
Potamogeton filiformis,Potamogeton filiformis,Angiosperm,Slender-leaved Pondweed,Slender-leaved Pondweed
Potamogeton friesii,Potamogeton friesii,Angiosperm,Flat-stalked Pondweed,Flat-stalked Pondweed
Potamogeton gramineus,Potamogeton gramineus,Angiosperm,Various-leaved Pondweed,Various-leaved Pondweed
Potamogeton lucens,Potamogeton lucens,Angiosperm,Shining Pondweed,Shining Pondweed
Potamogeton natans,Potamogeton natans,Angiosperm,Broad-leaved Pondweed,Broad-leaved Pondweed
Potamogeton obtusifolius,Potamogeton obtusifolius,Angiosperm,Blunt-leaved Pondweed,Blunt-leaved Pondweed
Potamogeton pectinatus,Potamogeton pectinatus,Angiosperm,Fennel Pondweed,Fennel Pondweed
Potamogeton perfoliatus,Potamogeton perfoliatus,Angiosperm,Perfoliate Pondweed,Perfoliate Pondweed
Potamogeton polygonifolius,Potamogeton polygonifolius,Angiosperm,Bog Pondweed,Bog Pondweed
Potamogeton praelongus,Potamogeton praelongus,Angiosperm,Long-stalked Pondweed,Long-stalked Pondweed
Potamogeton pusillus,Potamogeton pusillus,Angiosperm,Lesser Pondweed,Lesser Pondweed
Potamogeton rutilus,Potamogeton rutilus,Angiosperm,Shetland Pondweed,Shetland Pondweed
Potamogeton trichoides,Potamogeton trichoides,Angiosperm,Hairlike Pondweed,Hairlike Pondweed
Potentilla anglica,Potentilla anglica,Angiosperm,Trailing Tormentil,Trailing Tormentil
Potentilla anserina,Potentilla anserina,Angiosperm,Silverweed,Silverweed
Potentilla argentea,Potentilla argentea,Angiosperm,Hoary Cinquefoil,Hoary Cinquefoil
Potentilla crantzii,Potentilla crantzii,Angiosperm,Alpine Cinquefoil,Alpine Cinquefoil
Potentilla erecta,Potentilla erecta,Angiosperm,Tormentil,Tormentil
Potentilla erecta subsp. erecta,Potentilla erecta subsp. erecta,Angiosperm,Potentilla erecta subsp. erecta,Potentilla erecta subsp. erecta
Potentilla neumanniana,Potentilla neumanniana,Angiosperm,Spring Cinquefoil,Spring Cinquefoil
Potentilla palustris,Potentilla palustris,Angiosperm,Marsh Cinquefoil,Marsh Cinquefoil
Potentilla reptans,Potentilla reptans,Angiosperm,Creeping Cinquefoil,Creeping Cinquefoil
Potentilla rupestris,Potentilla rupestris,Angiosperm,Rock Cinquefoil,Rock Cinquefoil
Potentilla sterilis,Potentilla sterilis,Angiosperm,Barren Strawberry,Barren Strawberry
Poterium sanguisorba,Poterium sanguisorba,Angiosperm,Salad Burnet,Salad Burnet
Primula scotica,Primula scotica,Angiosperm,Scottish Primrose,Scottish Primrose
Primula veris,Primula veris,Angiosperm,Cowslip,Cowslip
Primula veris x vulgaris = P. x polyantha,Primula veris x vulgaris = P. x polyantha,Angiosperm,False Oxlip,False Oxlip
Primula vulgaris,Primula vulgaris,Angiosperm,Primrose,Primrose
Procyon lotor,Procyon lotor,Angiosperm,Raccoon,Raccoon
Prunella vulgaris,Prunella vulgaris,Angiosperm,Selfheal,Selfheal
Prunus domestica subsp. insititia,Prunus domestica subsp. insititia,Angiosperm,Bullace,Bullace
Prunus serrulata,Prunus serrulata,Angiosperm,Japanese Cherry,Japanese Cherry
Prunus spinosa,Prunus spinosa,Angiosperm,Blackthorn,Blackthorn
Pseudofumaria lutea,Pseudofumaria lutea,Angiosperm,Yellow Corydalis,Yellow Corydalis
Pseudorchis albida,Pseudorchis albida,Angiosperm,Small-white Orchid,Small-white Orchid
Puccinellia distans,Puccinellia distans,Angiosperm,Reflexed Saltmarsh-grass,Reflexed Saltmarsh-grass
Puccinellia maritima,Puccinellia maritima,Angiosperm,Common Saltmarsh-grass,Common Saltmarsh-grass
Pulicaria dysenterica,Pulicaria dysenterica,Angiosperm,Common Fleabane,Common Fleabane
Pulmonaria mollis,Pulmonaria mollis,Angiosperm,Pulmonaria mollis,Pulmonaria mollis
Pyrola media,Pyrola media,Angiosperm,Intermediate Wintergreen,Intermediate Wintergreen
Pyrola minor,Pyrola minor,Angiosperm,Common Wintergreen,Common Wintergreen
Pyrola rotundifolia,Pyrola rotundifolia,Angiosperm,Round-leaved Wintergreen,Round-leaved Wintergreen
Quercus,Quercus,Angiosperm,Oak,Oak
Radiola linoides,Radiola linoides,Angiosperm,Allseed,Allseed
Ranunculus acris,Ranunculus acris,Angiosperm,Meadow Buttercup,Meadow Buttercup
Ranunculus aquatilis,Ranunculus aquatilis,Angiosperm,Common Water-crowfoot,Common Water-crowfoot
Ranunculus arvensis,Ranunculus arvensis,Angiosperm,Corn Buttercup,Corn Buttercup
Ranunculus auricomus,Ranunculus auricomus,Angiosperm,Goldilocks Buttercup,Goldilocks Buttercup
Ranunculus baudotii,Ranunculus baudotii,Angiosperm,Brackish Water-crowfoot,Brackish Water-crowfoot
Ranunculus bulbosus,Ranunculus bulbosus,Angiosperm,Bulbous Buttercup,Bulbous Buttercup
Ranunculus circinatus,Ranunculus circinatus,Angiosperm,Fan-leaved Water-crowfoot,Fan-leaved Water-crowfoot
Ranunculus ficaria,Ranunculus ficaria,Angiosperm,Lesser Celandine,Lesser Celandine
